song,artist,genre,file_size,samples,bit/sampling_rate,bitrate,flac-compression6-bitrate,flac-compression6-filesize,flac-compression6-compression-ratio,flac-compression6-encode-time,flac-compression6-encode-speed,flac-compression6-decode-time,flac-compression6-decode-speed,mp3-cbr320-bitrate,mp3-cbr320-filesize,mp3-cbr320-compression-ratio,mp3-cbr320-encode-time,mp3-cbr320-encode-speed,mp3-cbr320-decode-time,mp3-cbr320-decode-speed,mp3-cbr128-bitrate,mp3-cbr128-filesize,mp3-cbr128-compression-ratio,mp3-cbr128-encode-time,mp3-cbr128-encode-speed,mp3-cbr128-decode-time,mp3-cbr128-decode-speed,aac-cbr256-bitrate,aac-cbr256-filesize,aac-cbr256-compression-ratio,aac-cbr256-encode-time,aac-cbr256-encode-speed,aac-cbr256-decode-time,aac-cbr256-decode-speed,aac-vbrlevel5-bitrate,aac-vbrlevel5-filesize,aac-vbrlevel5-compression-ratio,aac-vbrlevel5-encode-time,aac-vbrlevel5-encode-speed,aac-vbrlevel5-decode-time,aac-vbrlevel5-decode-speed,vorbis-vbrlevel7-bitrate,vorbis-vbrlevel7-filesize,vorbis-vbrlevel7-compression-ratio,vorbis-vbrlevel7-encode-time,vorbis-vbrlevel7-encode-speed,vorbis-vbrlevel7-decode-time,vorbis-vbrlevel7-decode-speed
Feel Good Inc.,Gorillaz,Pop/Hip-Hop,58656346,9753744,24/44.1,2117,1585,43816386,25.29983712,0.71982,27.10050846,0.233889,83.40489719,320,8850368,84.91149108,5.884187,3.315239302,0.270458,72.12760577,128,3540823,93.9634443,5.076249,3.842894232,0.196035,99.51023032,256,7120439,87.86075253,3.701074,5.270764108,0.686531,28.41457705,201,5590886,90.46840388,3.592494,5.430068359,0.644693,30.25856958,215,5950792,89.8548198,2.538327,7.685175314,0.495982,39.33104024
Mars (The Bringer of War),Gustav Holst,Orchestra,77807352,19411644,16/44.1,1411,726,39947389,48.65859334,1.036607,37.45227265,0.341645,113.6363418,320,17610792,77.36615943,9.135514,4.249710306,0.505314,76.83002648,128,7044993,90.9455947,8.609227,4.509497543,0.379562,102.2844436,256,14167555,81.79149574,7.164093,5.419149081,1.365057,28.44078159,226,12489530,83.94813642,7.606595,5.103898393,1.341943,28.93065354,198,10925820,85.95785653,4.415064,8.793369247,0.998435,38.88414168
"Nothin' But a ""G"" Thang",Dr. Dre ft. Snoop Dogg,Hip-Hop,42151858,10515204,16/44.1,1411,973,28996463,31.20952581,0.592446,35.49759472,0.210668,99.82725426,320,9541045,77.36506656,5.387726,3.903392266,0.276884,75.95385793,128,3817094,90.9444229,4.393999,4.786165859,0.209437,100.4140052,256,7675664,81.79044919,3.871573,5.432006061,0.729332,28.83516423,246,7384696,82.4807343,4.283512,4.909618089,0.74389,28.27085725,257,7665216,81.81523576,2.923273,7.194130688,0.596499,35.2564011
Peaches En Regalia,Frank Zappa,Jazz Fusion,125239904,20857856,24/96,4608,3142,85324332,31.8712892,1.516856,27.50143191,0.460264,90.63431422,320,8693928,93.05818056,6.670537,6.253726199,0.263093,158.5588062,128,3478248,97.22273182,4.84299,8.613627532,0.197418,211.3065273,256,7037397,94.38086682,4.617844,9.033590567,1.089565,38.28657492,406,11115377,91.1247321,6.840605,6.098248912,1.295145,32.20929857,255,6924026,94.47138989,4.588542,9.091278232,0.739395,56.41870989
Pink Yesterday,Too Many Zooz,Funk,33643162,8374154,16/44.1,1411,903,21439092,36.27503859,0.463916,36.10202709,0.163194,102.6282094,320,7599625,77.4110858,4.707848,3.55752947,0.225589,74.24257388,128,3040526,90.96242499,4.009241,4.177426101,0.168386,99.46377965,256,6113175,81.82936848,3.069526,5.45631736,0.582859,28.7347506,196,4690505,86.05807326,2.955303,5.667205021,0.550943,30.39934803,234,5556800,83.48312207,2.178664,7.687421282,0.438343,38.20822507
Rhymes Like Dimes,MF DOOM,Hip-Hop,46087360,11404848,16/44.1,1411,905,29268097,36.49430777,0.63371,35.99390257,0.221829,102.8255819,320,10348751,77.54535951,5.889598,3.872878251,0.307053,74.28585944,128,4140176,91.01667789,5.698578,4.002699621,0.231852,98.38041509,256,8324973,81.93653748,4.322784,5.276621733,0.81034,28.14830318,165,5395086,88.29378381,3.45258,6.606565525,0.688632,33.12320078,199,6444006,86.01784524,2.886514,7.902160184,0.549799,41.48733628
Rich Spirit,Kendrick Lamar,Hip-Hop,35757118,8920791,16/44.1,1411,832,21046785,41.13959352,0.485401,36.75637669,0.174084,102.4883505,320,8094906,77.36141375,5.19196,3.436386644,0.235677,75.70353492,128,3238638,90.94267608,4.622261,3.859925262,0.178182,100.1312254,256,6512193,81.78770168,3.392698,5.258818203,0.618585,28.84257135,243,6174293,82.73268836,3.654745,4.881758372,0.630212,28.31044474,232,5880260,83.55499456,2.31968,7.691397951,0.47308,37.71366788
Rip & Tear,Mick Gordon,Industrial Metal,45585058,11366100,16/44.1,1411,919,29627624,35.00584336,0.649813,34.98267963,0.227463,99.9380119,320,10313225,77.37586514,6.722278,3.381621528,0.305074,74.51372454,128,4125966,90.94886311,5.032134,4.517407525,0.228557,99.45965339,256,8296577,81.79978843,3.957117,5.744636815,0.786246,28.91232515,218,7062623,84.5067149,4.138577,5.492757535,0.759337,29.93690548,215,6926356,84.80564399,2.853947,7.965179451,0.578738,39.27891377
"Shook Ones, Pt. II",Mobb Deep,Hip-Hop,57716238,14354844,16/44.1,1411,942,38322779,33.60139135,0.808624,35.50437286,0.295389,97.19281354,320,13023690,77.4349638,7.08051,4.054748599,0.383666,74.82989892,128,5210152,90.97281427,7.214496,3.979444718,0.287937,99.70822784,256,10477739,81.84611582,5.378114,5.338244597,1.00417,28.59046576,235,9633765,83.30839754,5.721054,5.018251532,1.015193,28.28002951,238,9705316,83.18442723,3.801141,7.552913191,0.943288,30.43576087
Smooth Criminal (2012 Remaster),Michael Jackson,R&B,148527684,24745582,24/96,4608,3020,97325044,34.47346557,1.812573,27.30437009,0.565539,87.51149611,320,10314408,93.05556532,7.74035,6.393918104,0.321631,153.8756028,128,4126440,97.22177045,6.442181,7.68236161,0.243487,203.2599851,256,8348960,94.37885263,5.443659,9.091525388,1.295554,38.2007728,263,8564618,94.23365546,6.472454,7.646429623,1.336566,37.02859717,303,9766206,93.42465611,6.560652,7.543634992,1.408218,35.14453302
